rank,arch_tag,score,mean_acc,worst_acc,robust_gap,mean_cr,std_cr,param_m,tx_cost,insertion_stage,se_ratio,cr,bottleneck_channels,ae_depth,kernel_size,use_skip,build_time_sec,quick_train_time_sec,eval_time_sec,total_time_sec,peak_gpu_mem_mb
23,s3_r8_cr0.8_cb24_d2_k5_noskip,0.13791440603106656,0.28690476190476183,0.2571428571428571,0.04761904761904767,0.7151284846994612,0.0012390217743813992,13.20471,4393.74940999349,3,8,0.8,24,2,5,False,0.11439824104309082,9.149620294570923,19.179627895355225,28.444639682769775,2552.30810546875
24,s4_r8_cr0.6_cb32_d2_k5_noskip,0.13560310218108632,0.34265873015873005,0.3142857142857143,0.09047619047619049,0.6674267003933588,0.004259378649294376,18.75935,1366.8898824055989,4,8,0.6,32,2,5,False,0.11596345901489258,8.428967714309692,23.721137285232544,32.26704382896423,2628.55810546875
25,s3_r4_cr0.8_cb24_d2_k1_noskip,0.11172682406583268,0.27519841269841266,0.10476190476190476,0.22857142857142854,0.6816866728994582,0.0014267700025811791,11.356902,4188.282918294271,3,4,0.8,24,2,1,False,0.2628481388092041,9.298380851745605,19.867759227752686,29.429851293563843,2527.70068359375
26,s3_r32_cr0.8_cb16_d2_k1_noskip,0.0965352824714006,0.28373015873015867,0.0761904761904762,0.35714285714285715,0.6916418042447832,0.0014921160181984305,11.293334,2832.964830186632,3,32,0.8,16,2,1,False,0.10451793670654297,8.889995098114014,18.19458293914795,27.190058946609497,2529.48486328125
27,s4_r32_cr1.0_cb24_d3_k1_noskip,0.08624448244461878,0.2311507936507937,0.19523809523809524,0.07142857142857142,0.7593458087907897,0.009064977988600731,11.758508,1166.355162302653,4,32,1.0,24,3,1,False,0.09550094604492188,8.53240704536438,19.928584098815918,28.55751347541809,2466.947265625
28,s3_r8_cr0.4_cb16_d4_k3_noskip,0.04594991274007165,0.2023809523809524,0.13333333333333333,0.1285714285714286,0.5750131656726202,0.0017932843184098601,12.83615,2355.2539265950522,3,8,0.4,16,4,3,False,0.11334538459777832,9.631439208984375,18.639154195785522,28.384937286376953,2588.21630859375
29,s3_r32_cr0.4_cb16_d2_k1_noskip,0.021142068357166116,0.15555555555555556,0.1,0.09523809523809523,0.5938789430591795,0.0007518716156482697,11.293334,2432.5281507703994,3,32,0.4,16,2,1,False,0.11213064193725586,8.514211893081665,18.847197771072388,27.474486589431763,2529.48486328125
30,s4_r8_cr1.0_cb24_d3_k3_noskip,-0.02775316007349779,0.14742063492063487,0.14285714285714285,0.009523809523809545,0.7687723934650421,0.0029440417420119047,15.833372,1180.8343963623047,4,8,1.0,24,3,3,False,0.11133050918579102,8.41191291809082,20.62601089477539,29.15035057067871,2530.9560546875
31,s4_r32_cr1.0_cb48_d4_k1_noskip,-0.04498965419609282,0.08988095238095238,0.0761904761904762,0.028571428571428567,0.7346420031454828,0.0072847213596105576,11.99711,2256.820233662923,4,32,1.0,48,4,1,False,0.11426925659179688,8.853327512741089,19.95795702934265,28.92663812637329,2470.595703125
32,s4_r32_cr0.4_cb16_d3_k3_noskip,-0.05314154888774566,0.10575396825396828,0.1,0.009523809523809518,0.5553078485859765,0.006942880805581808,15.642212,568.6352369520399,4,32,0.4,16,3,3,False,0.11561417579650879,8.772863626480103,18.12424087524414,27.013740301132202,2529.5517578125
33,s3_r32_cr0.4_cb32_d4_k1_noskip,-0.06698359982666013,0.06309523809523811,0.047619047619047616,0.05714285714285715,0.5543123160799345,0.0019183156546205282,11.410934,4540.926493326823,3,32,0.4,32,4,1,False,0.11025238037109375,8.91467833518982,18.125020265579224,27.150928497314453,2580.52001953125
34,s3_r8_cr1.0_cb32_d3_k1_noskip,-0.08474865966635416,0.052579365079365094,0.04285714285714286,0.028571428571428567,0.7578632177578078,0.0032127301674336195,11.383268,6208.415479871962,3,8,1.0,32,3,1,False,0.10775494575500488,9.023680925369263,19.135225772857666,28.267605304718018,2559.08837890625
35,s3_r32_cr0.4_cb16_d4_k5_noskip,-0.09178888305032398,0.08888888888888889,0.03333333333333333,0.10952380952380952,0.5815600670046277,0.00249290419742465,15.639094,2382.070034450955,3,32,0.4,16,4,5,False,0.11630797386169434,7.8002941608428955,19.86065411567688,27.778319120407104,2621.78759765625
36,s4_r4_cr0.6_cb64_d4_k3_noskip,-0.09198723294090633,0.09623015873015878,0.09047619047619047,0.009523809523809532,0.6368187906013595,0.0012107023503631353,18.370422,2608.4097663031685,4,4,0.6,64,4,3,False,0.13266754150390625,9.708317995071411,18.06841731071472,27.91049838066101,2584.44384765625
